entry_number,entry_name,slot,team,submitted_at_utc
1,Fairway Ridge 1,1A,LAR,2026-08-29T17:56:33Z
1,Rampage 1,1A,SEA,2026-09-05T18:12:03Z
1,Number 9 1,1A,LAR,2026-08-30T20:26:16Z
1,The Hip 1,1A,SEA,2026-09-03T14:05:00Z
1,Tenacious 218ers 1,1A,SEA,2026-09-05T08:53:03Z
1,WZKB 1,1A,SEA,2026-09-06T16:59:31Z
1,KarnG 1,1A,SEA,2026-09-07T20:21:52Z
1,Fletch 1,1A,SEA,2026-09-07T22:12:24Z
1,Grand 1,1A,LAR,2026-09-08T00:36:26Z
1,Jonathan F 1,1A,LAR,2026-09-08T18:45:59Z
1,Megs 1,1A,SF,2026-09-08T20:44:36Z
1,YOURFACE 1,1A,SEA,2026-09-08T23:00:11Z
1,Leg 1,1A,LAR,2026-09-09T00:23:52Z
1,A.Lewis 1,1A,SEA,2026-09-09T03:21:17Z
1,Gina Nelson 1,1A,SEA,2026-09-09T03:38:08Z
1,Bennyboy 1,1A,LAR,2026-09-09T05:58:41Z
1,FredG 1,1A,SEA,2026-09-09T19:38:01Z
1,Loser 1,1A,NE,2026-09-09T20:56:30Z
1,ButterBob 1,1A,SEA,2026-09-09T21:23:28Z
1,Skurrdog 1,1A,SEA,2026-09-09T21:25:28Z
1,Barney 1,1A,LAR,2026-09-09T22:29:23Z
1,AndrewJ 1,1A,NE,2026-09-09T22:49:15Z
1,DonHollywood 1,1A,LAR,2026-09-10T08:34:00Z
2,KATIE 2,1A,LAR,2026-09-03T13:10:03Z
2,billT 2,1A,SEA,2026-09-07T17:15:35Z
2,Deontez 2,1A,SEA,2026-09-08T15:00:16Z
2,Robert Dean 2,1A,NE,2026-09-08T22:05:03Z
2,YOURFACE 2,1A,LAR,2026-09-08T23:00:19Z
2,Gina Nelson 2,1A,LAR,2026-09-09T03:38:19Z
3,DCloud 3,1A,LAR,2026-08-24T18:46:57Z
3,Jahoobies 3,1A,LAR,2026-09-08T15:21:17Z
3,TyshawnLebron 3,1A,SEA,2026-09-09T22:08:32Z
3,AndrewJ 3,1A,LAR,2026-09-09T22:48:57Z
4,Ryan S 4,1A,LAR,2026-09-09T14:21:20Z
4,Homeyjoe 4,1A,LAR,2026-09-09T23:54:06Z
5,Mongoose 5,1A,LAR,2026-08-27T21:44:13Z
5,The Rocket 5,1A,LAR,2026-09-01T00:56:01Z
5,Kim 5,1A,LAR,2026-09-08T02:27:50Z
5,Bennyboy 5,1A,SEA,2026-09-09T05:59:19Z
5,Jordan Dvorak 5,1A,LAR,2026-09-10T00:05:57Z
6,Number 9 6,1A,SEA,2026-08-30T20:27:28Z
6,Shot to the Chops 6,1A,SEA,2026-09-08T01:24:47Z
7,Shot to the Chops 7,1A,SEA,2026-09-08T01:24:58Z
7,Shores 7,1A,LAR,2026-09-10T00:39:19Z
8,Fletch 8,1A,LAR,2026-09-07T22:13:40Z
8,Shot to the Chops 8,1A,LAR,2026-09-08T01:25:02Z
8,Mash Buttatoes 8,1A,NE,2026-09-09T14:37:33Z
8,orthogonal 8,1A,LAR,2026-09-10T23:20:04Z
9,Eastside 17 9,1A,LAR,2026-09-10T23:45:05Z
9,Schippy 9,1A,SF,2026-09-09T06:23:19Z
9,laruffa 9,1A,SEA,2026-09-09T09:03:03Z
9,orthogonal 9,1A,LAR,2026-09-10T23:20:32Z
10,Sherlock 10,1A,SF,2026-09-10T23:04:22Z
10,orthogonal 10,1A,LAR,2026-09-10T23:20:55Z
11,Chronos 11,1A,LAR,2026-08-24T03:57:20Z
11,orthogonal 11,1A,LAR,2026-09-10T23:21:21Z
16,orthogonal 16,1A,SEA,2026-09-09T23:53:46Z
17,Shot to the Chops 17,1A,LAR,2026-09-08T01:26:32Z
17,orthogonal 17,1A,SEA,2026-09-09T23:53:47Z
18,Shot to the Chops 18,1A,SEA,2026-09-08T01:26:35Z
18,orthogonal 18,1A,SEA,2026-09-09T23:53:47Z
21,X-Ray 21,1A,NE,2026-09-05T20:01:33Z
22,X-Ray 22,1A,SF,2026-09-05T20:01:42Z
25,BossHogg 25,1A,SEA,2026-09-09T23:53:46Z
